ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
17954204,63541,16,None,-81,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulationAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulation,ChEMBL,181,0,1,1,2.0,Clc1ccc2c(c1)CCNCC2,10.1021/jm0709034
CHEMBL180668,63541,16,None,-81,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulationAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulation,ChEMBL,181,0,1,1,2.0,Clc1ccc2c(c1)CCNCC2,10.1021/jm0709034
10465263,63935,51,None,-89,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulationAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulation,ChEMBL,195,0,1,1,2.6,CC1CNCCc2ccc(Cl)cc21,10.1021/jm0709034
CHEMBL181172,63935,51,None,-89,3,Human,6.0,pEC50,=,6,Functional,Agonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulationAgonistactivityathuman5HT2BreceptorexpressedinHEK293cellsassessedasintracellularIP3accumulation,ChEMBL,195,0,1,1,2.6,CC1CNCCc2ccc(Cl)cc21,10.1021/jm0709034
59312249,111085,0,None,-8,2,Human,6.0,pEC50,=,6,Functional,Agonistactivityatrecombinanthuman5-HT2BreceptorexpressedinCHOK1cellsassessedascalciummobilizationbyFLIPRassayAgonistactivityatrecombinanthuman5-HT2BreceptorexpressedinCHOK1cellsassessedascalciummobilizationbyFLIPRassay,ChEMBL,282,3,2,4,2.4,CNc1nc(C(C)c2ccccc2)nc2c1CCNCC2,10.1021/jm5003292
CHEMBL3286565,111085,0,None,-8,2,Human,6.0,pEC50,=,6,Functional,Agonistactivityatrecombinanthuman5-HT2BreceptorexpressedinCHOK1cellsassessedascalciummobilizationbyFLIPRassayAgonistactivityatrecombinanthuman5-HT2BreceptorexpressedinCHOK1cellsassessedascalciummobilizationbyFLIPRassay,ChEMBL,282,3,2,4,2.4,CNc1nc(C(C)c2ccccc2)nc2c1CCNCC2,10.1021/jm5003292
122442324,137696,0,None,-12,2,Human,6.0,pEC50,=,6,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,255,5,1,2,3.1,C=CCOc1cc(F)c(Cl)cc1C1CC1CN,10.1021/acs.jmedchem.5b01153
CHEMBL3770174,137696,0,None,-12,2,Human,6.0,pEC50,=,6,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,255,5,1,2,3.1,C=CCOc1cc(F)c(Cl)cc1C1CC1CN,10.1021/acs.jmedchem.5b01153
CHEMBL3771386,137696,0,None,-12,2,Human,6.0,pEC50,=,6,Functional,Agonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2BreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,255,5,1,2,3.1,C=CCOc1cc(F)c(Cl)cc1C1CC1CN,10.1021/acs.jmedchem.5b01153
11658860,2290,43,None,-63,4,Human,6.0,pEC50,=,6,Functional,Effectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolreleaseEffectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolrelease,ChEMBL,195,0,1,1,2.6,Clc1ccc2c(c1)[C@@H](C)CNCC2,10.1016/j.bmcl.2004.12.080
2941,2290,43,None,-63,4,Human,6.0,pEC50,=,6,Functional,Effectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolreleaseEffectiveconcentrationtowards5-hydroxytryptamine2BreceptorstransfectedinHEK293cellswasdeterminedbymeasuring[3H]phosphoinositolrelease,ChEMBL,195,0,1,1,2.6,Clc1ccc2c(c1)[C@@H](C)CNCC2,10.1016/j.bmcl.2004.12.080
