ChEMBL ID,Receptor,Species,Purchasable,No. records,Assay type,Min.,Average,Max.,Unit,Mol. weight,Rot. Bonds,H don,H acc,LogP,Smiles,,,,,
DB08839,139,62,None,-3,27,Human,9.8,pEC50,=,9.8,Functional,Agonistactivityathuman5-HT2CreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassayAgonistactivityathuman5-HT2CreceptorexpressedinhumanFlp-In-293cellsassessedasinductionofcalciumfluxincubatedfor1hrbyFluo-4directdyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.6b01194
5,139,62,None,-3,27,Human,9.8,pEC50,=,9.8,Functional,Agonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassayAgonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.7b00584
5202,139,62,None,-3,27,Human,9.8,pEC50,=,9.8,Functional,Agonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassayAgonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.7b00584
CHEMBL39,139,62,None,-3,27,Human,9.8,pEC50,=,9.8,Functional,Agonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassayAgonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.7b00584
DB08839,139,62,None,-3,27,Human,9.8,pEC50,=,9.8,Functional,Agonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassayAgonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.7b00584
439280,119400,100,None,3,7,Human,9.7,pEC50,=,9.7,Functional,Agonistactivityatrecombinanthuman5HT2C-INIreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2C-INIreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
6971044,119400,100,None,3,7,Human,9.7,pEC50,=,9.7,Functional,Agonistactivityatrecombinanthuman5HT2C-INIreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2C-INIreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
CHEMBL350221,119400,100,None,3,7,Human,9.7,pEC50,=,9.7,Functional,Agonistactivityatrecombinanthuman5HT2C-INIreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassayAgonistactivityatrecombinanthuman5HT2C-INIreceptorexpressedinFlp-In-293cellsassessedascalciumfluxbyFLIPRassay,ChEMBL,220,3,4,3,0.8,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,10.1021/acs.jmedchem.5b01153
5,139,62,None,-3,27,Human,9.7,pEC50,=,9.7,Functional,Agonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassayAgonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.7b00584
5202,139,62,None,-3,27,Human,9.7,pEC50,=,9.7,Functional,Agonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassayAgonistactivityathuman5-HT2C-INIreceptorisoformexpressedinFlp-INHEK293cellsassessedasinductionofGq-mediatedcalciumfluxmeasuredeverysecondfor5minsbyFluo-4dyebasedFLIPRassay,ChEMBL,176,2,3,2,1.4,NCCc1c[nH]c2c1cc(O)cc2,10.1021/acs.jmedchem.7b00584
